Comando enviado,Leitura do sensor do lado esquerdo do robô após execução do comando,Leitura do sensor da frente do robô após execução do comando,Leitura do sensor do lado direito do robô após execução do comando,Situação do compartimento de carga
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,PAREDE,SEM HUMANO
G,VAZIO,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,PAREDE,SEM HUMANO
G,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,VAZIO,SEM HUMANO
G,VAZIO,VAZIO,VAZIO,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,VAZIO,PAREDE,VAZIO,SEM HUMANO
G,PAREDE,VAZIO,VAZIO,SEM HUMANO
A,PAREDE,VAZIO,PAREDE,SEM HUMANO
A,PAREDE,PAREDE,HUMANO,SEM HUMANO
G,PAREDE,HUMANO,VAZIO,SEM HUMANO
A,PAREDE,PAREDE,PAREDE,SEM HUMANO
P,PAREDE,PAREDE,PAREDE,COM HUMANO
G,PAREDE,PAREDE,VAZIO,COM HUMANO
A,PAREDE,VAZIO,VAZIO,COM HUMANO
G,VAZIO,VAZIO,HUMANO,COM HUMANO
G,VAZIO,HUMANO,PAREDE,COM HUMANO
G,HUMANO,PAREDE,VAZIO,COM HUMANO
A,PAREDE,VAZIO,VAZIO,COM HUMANO
A,VAZIO,PAREDE,VAZIO,COM HUMANO
A,PAREDE,VAZIO,PAREDE,COM HUMANO
A,VAZIO,PAREDE,VAZIO,COM HUMANO
A,PAREDE,VAZIO,PAREDE,COM HUMANO
A,VAZIO,PAREDE,VAZIO,COM HUMANO
A,PAREDE,PAREDE,PAREDE,COM HUMANO
G,PAREDE,PAREDE,VAZIO,COM HUMANO
A,PAREDE,PAREDE,VAZIO,COM HUMANO
A,PAREDE,VAZIO,VAZIO,COM HUMANO
A,PAREDE,PAREDE,VAZIO,COM HUMANO
E,PAREDE,PAREDE,VAZIO,SEM HUMANO
